Source,AB,AV,Aha,logLHa,logLHacorr,logLbol,logS,radius,pressure_direct,pressure_IR,pressure_Hii,pressure_x
N4,0.31,0.24,0.17,37.1,37.2,39.4,49.2,1.02E+01,1.82E-11,2.13E-10,6.90E-10,2.31E-10
N11,0.08,0.06,0.05,38.9,39,41.1,51,1.45E+02,5.08E-12,6.60E-11,6.90E-11,2.20E-11
N30,0.26,0.2,0.14,37.7,37.8,39.9,49.7,4.51E+01,3.31E-12,7.20E-11,7.55E-11,5.64E-10
N44,0.28,0.22,0.14,38.5,38.6,40.7,50.6,1.03E+02,4.21E-12,6.50E-11,8.45E-11,8.30E-11
N48,0.19,0.14,0.12,37.8,37.9,40,49.9,7.56E+01,1.57E-12,4.00E-11,6.65E-11,4.30E-11
N55,0.3,0.23,0.17,38,38,40.2,50,5.24E+01,4.41E-12,5.80E-11,6.40E-11,2.20E-11
N59,0.36,0.28,0.19,38.4,38.5,40.6,50.5,5.67E+01,1.14E-11,1.15E-10,1.68E-10,7.80E-11
N79,0.4,0.3,0.24,38.1,38.2,40.4,50.2,6.40E+01,4.96E-12,9.40E-11,1.13E-10,2.90E-11
N105,0.2,0.15,0.12,38.1,38.2,40.3,50.1,4.22E+01,9.34E-12,9.90E-11,1.82E-10,6.60E-11
N119,0.2,0.15,0.12,38.5,38.5,40.7,50.5,8.58E+01,5.24E-12,5.70E-11,8.10E-11,4.40E-11
N144,0.35,0.27,0.19,38.4,38.4,40.6,50.4,7.13E+01,6.18E-12,7.80E-11,9.85E-11,5.10E-11
30 Dor,0.76,0.59,0.4,39.5,39.7,41.8,51.7,9.89E+01,5.57E-11,2.47E-10,3.50E-10,9.80E-11
N160,0.57,0.44,0.31,38.9,39,41.1,51,4.00E+01,2.11E-11,1.10E-10,1.66E-10,7.00E-11
N180,0.36,0.28,0.19,38,38.1,40.2,50.1,3.93E+01,9.03E-12,6.70E-11,1.61E-10,5.10E-11
N191,0.18,0.13,0.12,37,37,39.2,49,3.05E+01,1.34E-12,1.43E-10,7.15E-11,0.00E+00
N206,0.3,0.23,0.17,38.5,38.5,40.7,50.5,1.12E+02,3.26E-12,4.10E-11,6.40E-11,3.90E-11
DEM S74,0.16,0.12,0.09,37.1,37.1,39.3,49.1,4.79E+01,6.70E-13,1.10E-11,3.45E-11,8.80E-11
N13,0.25,0.19,0.14,37,37.1,39.2,49,8.87E+00,1.69E-11,8.10E-11,3.64E-10,1.65E-10
N17,0.21,0.16,0.12,37.1,37.2,39.3,49.1,2.66E+01,2.37E-12,3.30E-11,1.00E-10,7.50E-11
N19,0.25,0.19,0.14,36.7,36.8,38.9,48.8,1.24E+01,4.67E-12,4.00E-11,2.20E-10,1.82E-10
N22,0.27,0.21,0.14,37,37.1,39.2,49.1,1.60E+01,5.78E-12,2.12E-10,2.16E-10,1.25E-10
N36,0.24,0.18,0.14,37.8,37.9,40,49.9,4.44E+01,4.34E-12,2.20E-11,8.15E-11,9.90E-11
N50,0.19,0.14,0.12,37.8,37.8,39.9,49.8,7.63E+01,1.25E-12,1.50E-11,3.15E-11,5.80E-11
N51,0.15,0.12,0.08,36.8,36.8,39,48.8,3.37E+01,7.10E-13,3.90E-11,4.35E-11,9.40E-11
N63,0.22,0.17,0.12,37,37,39.1,49,2.31E+01,2.20E-12,2.60E-11,7.85E-11,1.31E-10
N66,0.08,0.06,0.05,38.6,38.6,40.8,50.6,6.39E+01,1.21E-11,1.10E-10,1.46E-10,6.50E-11
N71,0.11,0.09,0.05,36.2,36.3,38.4,48.2,3.55E+00,1.66E-11,6.80E-11,4.58E-10,1.69E-10
N76,0.09,0.07,0.05,38,38,40.2,50,5.50E+01,4.10E-12,3.80E-11,1.01E-10,1.10E-10
N78,0.13,0.1,0.07,37.7,37.7,39.9,49.7,4.61E+01,3.02E-12,1.66E-10,9.80E-11,9.80E-11
N80,0.16,0.12,0.09,37.4,37.5,39.6,49.4,3.90E+01,2.21E-12,2.60E-11,6.35E-11,6.00E-11
N84,0.32,0.24,0.19,38.2,38.2,40.4,50.2,1.01E+02,2.01E-12,4.70E-11,4.55E-11,5.50E-11
N90,0.19,0.14,0.12,37.5,37.5,39.7,49.5,3.02E+01,4.25E-12,3.30E-11,7.35E-11,6.20E-11
